poradi;verze;jmeno;Hrano;;;;;Vyhralo;;;;;Sila
1;NL;General;73;/;96;=;76,0%;42;/;73;=;57,5%;6,2
2;G;jobseeker;533;/;557;=;95,7%;228;/;533;=;42,8%;5,9
3;NL;DwellingMound;74;/;81;=;91,4%;33;/;74;=;44,6%;5,8
4;WA;NoPotato;92;/;99;=;92,9%;40;/;92;=;43,5%;5,8
5;NL;Navvy;57;/;65;=;87,7%;26;/;57;=;45,6%;5,7
6;NL;OxCart;68;/;75;=;90,7%;29;/;68;=;42,6%;5,5
7;NL;HorseDrawnBoat;68;/;84;=;81,0%;31;/;68;=;45,6%;5,3
8;E;braggart;2725;/;2970;=;91,8%;1096;/;2719;=;40,3%;5,3
9;I;chamberlain;2705;/;2879;=;94,0%;1067;/;2704;=;39,5%;5,3
10;NL;Autodidact;58;/;62;=;93,5%;23;/;58;=;39,7%;5,3
11;NL;Discoverer;53;/;67;=;79,1%;25;/;53;=;47,2%;5,3
12;NL;FieldMessenger;60;/;78;=;76,9%;29;/;60;=;48,3%;5,3
13;FL;JeneverDistillery;72;/;80;=;90,0%;29;/;72;=;40,3%;5,2
14;O;styrianoak;118;/;120;=;98,3%;44;/;118;=;37,3%;5,2
15;NL;Employer;72;/;82;=;87,8%;30;/;72;=;41,7%;5,2
16;FL;Brabant;72;/;79;=;91,1%;28;/;72;=;38,9%;5,1
17;NL;ProlificWriter;56;/;67;=;83,6%;24;/;56;=;42,9%;5,1
18;FL;BeguineCourtyard;38;/;54;=;70,4%;19;/;38;=;50,0%;5
19;E;charcoalburner;2828;/;2958;=;95,6%;1024;/;2824;=;36,3%;5
20;Z;motheroftwins;111;/;133;=;83,5%;47;/;111;=;42,3%;5
21;WA;FrankiPile;72;/;88;=;81,8%;30;/;72;=;41,7%;4,9
22;FL;WildBoarHunt;48;/;58;=;82,8%;20;/;48;=;41,7%;4,9
23;I;fieldwatchman;2825;/;2875;=;98,3%;993;/;2825;=;35,2%;4,9
24;FL;Cosmographer;51;/;70;=;72,9%;24;/;51;=;47,1%;4,9
25;WA;MasterDetective;67;/;91;=;73,6%;31;/;67;=;46,3%;4,9
26;WM;Donkey;2531;/;2984;=;84,8%;1005;/;2530;=;39,7%;4,8
27;FL;LanternWonder;60;/;65;=;92,3%;22;/;60;=;36,7%;4,8
28;WM;Raspberries;2871;/;3029;=;94,8%;1008;/;2868;=;35,1%;4,8
29;K;duckpond;3037;/;3270;=;92,9%;1092;/;3032;=;36,0%;4,8
30;E;grocer;2796;/;2940;=;95,1%;980;/;2790;=;35,1%;4,8
31;K;housegoat;3295;/;3391;=;97,2%;1129;/;3286;=;34,4%;4,8
32;FL;EbonyShoe;51;/;68;=;75,0%;22;/;51;=;43,1%;4,6
37;WM;CloisterDweller;2389;/;2783;=;85,8%;900;/;2386;=;37,7%;4,6
33;K;beehive;2986;/;3297;=;90,6%;1052;/;2975;=;35,4%;4,6
34;E;mason;2397;/;2927;=;81,9%;931;/;2387;=;39,0%;4,6
35;G;familycounselor;543;/;568;=;95,6%;183;/;543;=;33,7%;4,6
36;K;educator;2862;/;3012;=;95,0%;963;/;2856;=;33,7%;4,6
38;BI;MemberofaCooperative;45;/;62;=;72,6%;20;/;45;=;44,4%;4,6
39;NL;GardenWood;62;/;70;=;88,6%;22;/;62;=;35,5%;4,5
40;K;bookshelf;2840;/;3209;=;88,5%;1013;/;2836;=;35,7%;4,5
41;E;carppond;2948;/;3224;=;91,4%;1016;/;2945;=;34,5%;4,5
42;E;fruittree;2948;/;3284;=;89,8%;1035;/;2941;=;35,2%;4,5
43;Z;giantpumpkin;87;/;143;=;60,8%;45;/;87;=;51,7%;4,5
44;I;goosepond;2664;/;3028;=;88,0%;949;/;2663;=;35,6%;4,5
45;E;reedpond;2705;/;3126;=;86,5%;977;/;2700;=;36,2%;4,5
46;FR;ArtistsGarden;213;/;263;=;81,0%;81;/;213;=;38,0%;4,4
47;FR;Camembert;219;/;253;=;86,6%;77;/;219;=;35,2%;4,4
48;WM;DiamondMine;2583;/;3030;=;85,2%;933;/;2582;=;36,1%;4,4
49;FL;TrappistBeer;41;/;65;=;63,1%;20;/;41;=;48,8%;4,4
54;WM;HedgeMaster;2404;/;2722;=;88,3%;842;/;2401;=;35,1%;4,4
50;O;compulsoryeducation;98;/;114;=;86,0%;35;/;98;=;35,7%;4,4
51;CZ;cz1governor;138;/;144;=;95,8%;44;/;138;=;31,9%;4,4
52;G;animalholder;432;/;544;=;79,4%;166;/;431;=;38,5%;4,4
53;I;villageelder;2356;/;2778;=;84,8%;859;/;2356;=;36,5%;4,4
60;FR;HeadOfTheRevolution;155;/;213;=;72,8%;64;/;155;=;41,3%;4,3
55;E;clayroof;3128;/;3249;=;96,3%;987;/;3123;=;31,6%;4,3
56;E;reeve;2348;/;2823;=;83,2%;855;/;2341;=;36,5%;4,3
57;E;field;3360;/;3366;=;99,8%;956;/;3202;=;29,9%;4,3
58;E;quarry;2950;/;3289;=;89,7%;983;/;2944;=;33,4%;4,3
59;K;swanlake;2646;/;3286;=;80,5%;991;/;2641;=;37,5%;4,3
61;NL;GlassesMaker;57;/;93;=;61,3%;28;/;57;=;49,1%;4,3
62;WM;VillageSchool;2313;/;3052;=;75,8%;895;/;2312;=;38,7%;4,2
63;CZ;cz1weekendworker;98;/;127;=;77,2%;37;/;98;=;37,8%;4,2
